country,total_confirmed,total_deaths,population,fatality_rate
Yemen,10146,2898,29886897,28.56
Belgium,398568,58932,11594739,14.79
Italy,1477716,210672,60452568,14.26
France,1322112,181272,65288306,13.71
Hungary,26688,3576,9657785,13.40
Netherlands,320478,36960,17138756,11.53
Mexico,2372934,264132,129066160,11.13
Spain,1634526,170592,46756648,10.44
Western Sahara,60,6,598682,10.00
Chad,5532,450,16467965,8.13
Canada,698748,53664,37775022,7.68
Sweden,476370,34200,10105596,7.18
Ecuador,486966,33192,17668824,6.82
Ireland,155352,10584,4943200,6.81
Barbados,660,42,287411,6.36
Sudan,68544,4320,43943536,6.30
Liberia,7002,432,5068618,6.17
Niger,6792,414,24281433,6.10
San Marino,4194,252,33938,6.01
Syria,4044,240,17539600,5.93
Switzerland,206862,11868,8660952,5.74
Andorra,5442,312,77278,5.73
Slovenia,12522,696,2078968,5.56
Iran,1761636,95472,84097623,5.42
Trinidad and Tobago,888,48,1399950,5.41
Guyana,2334,120,786936,5.14
Egypt,554892,27912,102516525,5.03
Mali,15078,744,20302901,4.93
Burkina Faso,6600,318,20954852,4.82
Indonesia,601818,29028,273808365,4.82
Romania,275412,13236,19224023,4.81
Greece,25362,1212,10417673,4.78
Peru,2338302,110508,33016319,4.73
North Macedonia,61278,2796,2083365,4.56
Finland,44388,1974,5541604,4.45
Denmark,82566,3678,5794279,4.45
Germany,1242672,54750,83811260,4.41
Angola,5700,246,32956300,4.32
Belize,288,12,398312,4.17
Algeria,167838,6978,43926079,4.16
Tanzania,3054,126,59886383,4.13
Lithuania,12114,480,2718121,3.96
Iraq,675510,26748,40306025,3.96
Kyrgyzstan,199776,7806,6534479,3.91
Guatemala,271854,10566,17946899,3.89
Poland,260412,10056,37842302,3.86
Bolivia,427086,15882,11688459,3.72
Sierra Leone,10698,396,7992169,3.70
Brazil,14654250,525708,212710692,3.59
Afghanistan,217578,7614,39009447,3.50
Antigua and Barbuda,516,18,98010,3.49
Austria,123348,4278,9011577,3.47
Monaco,696,24,39270,3.45
Tunisia,8730,300,11830801,3.44
Cuba,15192,522,11325899,3.44
Portugal,301794,10314,10193593,3.42
Colombia,1542606,52662,50936262,3.41
Estonia,12204,414,1326627,3.39
Bulgaria,63726,2082,6942854,3.27
Moldova,138924,4488,4032983,3.23
Japan,186852,5988,126435859,3.20
Nicaragua,20634,648,6632263,3.14
Zambia,27312,840,18430129,3.08
Albania,29280,864,2877470,2.95
Honduras,238446,6996,9919704,2.93
Uruguay,7212,210,3474956,2.91
Mauritius,2064,60,1271985,2.91
Somalia,19176,558,15933012,2.91
Bahamas,2292,66,393616,2.88
Croatia,29286,834,4102577,2.85
Bosnia and Herzegovina,62988,1764,3278650,2.80
Norway,54792,1530,5425471,2.79
El Salvador,90210,2448,6489514,2.71
Malawi,21984,594,19174839,2.70
Chile,2087538,55122,19132514,2.64
Latvia,7314,186,1883936,2.54
Mauritania,37248,936,4660728,2.51
Turkey,1362114,33780,84428331,2.48
