date;total_confirmed;prev_week;weekly_growth_rate
2020-01-22;2775;;
2020-01-23;3270;2775;17.84
2020-01-24;4705;3270;43.88
2020-01-25;7170;4705;52.39
2020-01-26;10590;7170;47.70
2020-01-27;14635;10590;38.20
2020-01-28;27890;14635;90.57
2020-01-29;30830;27890;10.54
2020-01-30;41170;30830;33.54
2020-01-31;49635;41170;20.56
2020-02-01;60190;49635;21.27
2020-02-02;83935;60190;39.45
2020-02-03;99435;83935;18.47
2020-02-04;119490;99435;20.17
2020-02-05;138215;119490;15.67
2020-02-06;154010;138215;11.43
2020-02-07;171670;154010;11.47
2020-02-08;185340;171670;7.96
2020-02-09;200475;185340;8.17
2020-02-10;213165;200475;6.33
2020-02-11;223375;213165;4.79
2020-02-12;232805;223375;4.22
2020-02-13;301030;232805;29.31
2020-02-14;333450;301030;10.77
2020-02-15;343825;333450;3.11
2020-02-16;354395;343825;3.07
2020-02-17;364075;354395;2.73
2020-02-18;373045;364075;2.46
2020-02-19;375150;373045;0.56
2020-02-20;377885;375150;0.73
2020-02-21;381030;377885;0.83
2020-02-22;389835;381030;2.31
2020-02-23;391450;389835;0.41
2020-02-24;394270;391450;0.72
2020-02-25;398535;394270;1.08
2020-02-26;403350;398535;1.21
2020-02-27;410170;403350;1.69
2020-02-28;417055;410170;1.68
2020-02-29;426530;417055;2.27
2020-03-01;438450;426530;2.79
2020-03-02;448320;438450;2.25
2020-03-03;461205;448320;2.87
2020-03-04;472700;461205;2.49
2020-03-05;486655;472700;2.95
2020-03-06;506370;486655;4.05
2020-03-07;526560;506370;3.99
2020-03-08;546330;526560;3.75
2020-03-09;565830;546330;3.57
2020-03-10;590950;565830;4.44
2020-03-11;629265;590950;6.48
2020-03-12;658015;629265;4.57
2020-03-13;730040;658015;10.95
2020-03-14;785570;730040;7.61
2020-03-15;841300;785570;7.09
2020-03-16;914595;841300;8.71
2020-03-17;993785;914595;8.66
2020-03-18;1091715;993785;9.85
2020-03-19;1231305;1091715;12.79
2020-03-20;1379345;1231305;12.02
2020-03-21;1540875;1379345;11.71
2020-03-22;1707925;1540875;10.84
2020-03-23;1918750;1707925;12.34
2020-03-24;2124445;1918750;10.72
2020-03-25;2378530;2124445;11.96
2020-03-26;2693330;2378530;13.24
2020-03-27;3015330;2693330;11.96
2020-03-28;3353615;3015330;11.22
2020-03-29;3651500;3353615;8.88
2020-03-30;3974695;3651500;8.85
2020-03-31;4356775;3974695;9.61
2020-04-01;4737845;4356775;8.75
2020-04-02;5144840;4737845;8.59
2020-04-03;5560615;5144840;8.08
2020-04-04;5962930;5560615;7.24
2020-04-05;6321520;5962930;6.01
2020-04-06;6684880;6321520;5.75
2020-04-07;7069245;6684880;5.75
2020-04-08;7488120;7069245;5.93
2020-04-09;7921245;7488120;5.78
2020-04-10;8359535;7921245;5.53
2020-04-11;8744360;8359535;4.60
2020-04-12;9228265;8744360;5.53
2020-04-13;9576235;9228265;3.77
2020-04-14;9925870;9576235;3.65
2020-04-15;10330015;9925870;4.07
2020-04-16;10813575;10330015;4.68
2020-04-17;11252195;10813575;4.06
2020-04-18;11621980;11252195;3.29
2020-04-19;12024595;11621980;3.46
2020-04-20;12391290;12024595;3.05
2020-04-21;12767540;12391290;3.04
2020-04-22;13151570;12767540;3.01
2020-04-23;13596635;13151570;3.38
2020-04-24;14031335;13596635;3.20
2020-04-25;14455995;14031335;3.03
2020-04-26;14820730;14455995;2.52
2020-04-27;15164250;14820730;2.32
2020-04-28;15540745;15164250;2.48
2020-04-29;15925975;15540745;2.48
